Book_ID,ISBN_Number,Title,Author,Description,Published_Date,Category,Publisher,Image_Path,PDF_Link
,,,,,,,,
100001," 978-3-16-148410-0"," Pride and Prejudice",1," A classic novel about the manners and matrimonial machinations among the British middle class."," 1813-01-28",1,1,"https://www.whitcoulls.co.nz/content/products/6381517_MAIN.jpg?enable=upscale&canvas=2:3&auto=webp&optimize=high&width=580","https://www.gutenberg.org/files/1342/old/pandp12p.pdf"
100002," 978-0-14-043912-0"," Great Expectations",2," The story of the orphan Pip and his growth and personal development."," 1861-08-01",1,2,"https://cdn.kobo.com/book-images/d1d264bb-edf9-4405-ab53-eb13f82342ab/353/569/90/False/great-expectations-398.jpg"
100003," 978-0-19-283398-3"," War and Peace",3," A historical novel that tells the story of French invasion of Russia."," 1869-01-01",12,3,"https://www.imdb.com/title/tt3910804/mediaviewer/rm3121537536/?ref_=tt_ov_i"
100004," 978-0-7432-7356-5"," The Adventures of Tom Sawyer",4," A novel about a young boy growing up along the Mississippi River."," 1876-12-10",18,4,"https://mpd-biblio-covers.imgix.net/9781429959278.jpg?w=900dpr=1"
100005," 978-0-15-603008-3"," Mrs Dalloway",5," A novel that details a day in the life of Clarissa Dalloway."," 1925-05-14",23,5, "https://www.google.com/imgres?q=Mrs%20Dalloway&imgurl=https%3A%2F%2Fcdn.kobo.com%2Fbook-images%2Fdc043919-597a-4d28-bfe7-f2638a464ce1%2F1200%2F1200%2FFalse%2Fmrs-dalloway-141.jpg&imgrefurl=https%3A%2F%2Fwww.kobo.com%2Fsg%2Fen%2Febook%2Fmrs-dalloway-141&docid=AznZKBRDAkfNFM&tbnid=psTF38aRKRONmM&vet=12ahUKEwjpgq-fiJaIAxWRSmwGHXQmFt8QM3oECBgQAA..i&w=1200&h=1776&hcb=2&itg=1&ved=2ahUKEwjpgq-fiJaIAxWRSmwGHXQmFt8QM3oECBgQAA"
100006," 978-0-684-80152-9"," The Old Man and the Sea",6," The story of an aging Cuban fisherman who struggles with a giant marlin far out in the Gulf Stream."," 1952-09-01",5,6
100007," 978-0-452-28423-4",1984,7," A dystopian social science fiction novel and cautionary tale about the future."," 1949-06-08",1,7,"https://upload.wikimedia.org/wikipedia/en/5/51/1984_first_edition_cover.jpg"
100008," 978-0-545-01022-1"," Harry Potter and the Sorcerer's Stone",8," A young boy discovers he is a wizard on his 11th birthday."," 1997-06-26",7,8
100009," 978-0-06-112008-4"," To Kill a Mockingbird",9," A novel about the serious issues of rape and racial inequality."," 1960-07-11",1,9,"https://upload.wikimedia.org/wikipedia/commons/4/4f/To_Kill_a_Mockingbird_%28first_edition_cover%29.jpg"
100010," 978-0-14-118499-9"," One Hundred Years of Solitude",10," The multi-generational story of the Buendía family."," 1967-06-05",1,10,"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320.jpg"
100011," 978-0-7432-7356-1"," The Great Gatsby",11," A story of the mysteriously wealthy Jay Gatsby and his love for Daisy Buchanan."," 1925-04-10",1,11,"https://upload.wikimedia.org/wikipedia/commons/7/7a/The_Great_Gatsby_Cover_1925_Retouched.jpg"
100012," 978-0-06-207348-8"," Murder on the Orient Express",12," A detective novel about a murder on the famous train."," 1934-01-01",3,12, "https://www.google.com/imgres?q=Murder%20on%20the%20Orient%20Express&imgurl=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FM%2FMV5BMTk5OGFiYzktMTkwNS00ZjQ5LWFkNGQtNGM0MjA4MWE2MDIwXkEyXkFqcGdeQXVyODY1NDk1NjE%40._V1_.jpg&imgrefurl=https%3A%2F%2Fwww.imdb.com%2Ftitle%2Ftt3402236%2F&docid=IOtoiw6_tm3xsM&tbnid=jzQlV-aF7NKhNM&vet=12ahUKEwih29Pah5aIAxXjR2wGHe0ZJHQQM3oECBgQAA..i&w=2025&h=3000&hcb=2&ved=2ahUKEwih29Pah5aIAxXjR2wGHe0ZJHQQM3oECBgQAA"
100013," 978-0-307-27525-4"," Beloved",13," A novel about a haunted house and the aftermath of slavery."," 1987-09-16",1,13,"https://upload.wikimedia.org/wikipedia/commons/6/6f/Beloved_%281987_1st_ed_dust_jacket_cover%29.jpg"
100014," 978-0-618-00222-8"," The Fellowship of the Ring",14," The first part of J.R.R. Tolkien's epic fantasy series The Lord of the Rings."," 1954-07-29",7,14
100015," 978-0-671-02735-6"," The Shining",15," A horror novel about a family in an isolated hotel."," 1977-01-28",8,15
