Reserve_ID,User_ID,Book_ID,isComplete,Reserve_Date,Reserve_Time
1,1008,3,1,6/15/2024,10:00:00
2,1010,13,0,6/15/2024,10:30:00
3,1010,23,1,6/15/2024,11:00:00
4,1015,33,0,6/15/2024,11:30:00
5,1012,43,1,6/15/2024,12:00:00
6,1014,53,0,6/15/2024,12:30:00
7,1015,63,1,6/15/2024,13:00:00
8,1016,73,0,6/15/2024,13:30:00
9,1017,83,1,6/15/2024,14:00:00
10,1028,93,0,6/15/2024,14:30:00
11,1020,103,1,6/15/2024,15:00:00
12,1021,113,0,6/15/2024,15:30:00
13,1022,123,1,6/15/2024,16:00:00
14,1033,133,0,6/15/2024,16:30:00
15,1025,143,1,6/15/2024,17:00:00
16,1026,153,0,6/15/2024,17:30:00
17,1017,163,1,6/15/2024,18:00:00
18,1029,173,0,6/15/2024,18:30:00
19,1030,183,1,6/15/2024,19:00:00
20,1031,193,0,6/15/2024,19:30:00
21,1012,203,1,6/15/2024,20:00:00
22,1014,213,0,6/15/2024,20:30:00
23,1035,223,1,6/15/2024,21:00:00
24,1016,233,0,6/15/2024,21:30:00
25,1037,243,1,6/15/2024,22:00:00
26,1039,253,0,6/15/2024,22:30:00
27,1040,263,1,6/15/2024,23:00:00
28,1041,273,0,6/15/2024,23:30:00
29,1042,283,1,6/15/2024,0:00:00
30,1043,293,0,6/16/2024,0:30:00
31,1044,303,1,6/16/2024,1:00:00
32,1025,313,0,6/16/2024,1:30:00
33,1046,323,1,6/16/2024,2:00:00
34,1047,333,0,6/16/2024,2:30:00
35,1047,343,1,6/16/2024,3:00:00
36,1048,353,0,6/16/2024,3:30:00
37,1049,363,1,6/16/2024,4:00:00
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
